class_unclass,contig_name,taxon,length,kmers
C,ENA_ABAV01002776_ABAV01002776.1,Brachyspira murdochii DSM 12563 (taxid 526224),20128,0:629 1586287:2 0:11851 9606:3 0:1517 526224:5 0:6087
C,ENA_ABAV01002817_ABAV01002817.1,Clostridium tyrobutyricum (taxid 1519),11396,0:285 1519:5 0:6208 9606:1 0:4863
C,ENA_ABAV01002818_ABAV01002818.1,Burkholderia pseudomallei (taxid 28450),6086,0:5590 1159327:1 0:27 1159327:1 0:6 1159327:1 28450:5 0:421
C,ENA_ABAV01002824_ABAV01002824.1,Candidatus Baumannia cicadellinicola (taxid 186490),9842,0:8067 287:2 0:627 186490:5 0:1107
C,ENA_ABAV01002919_ABAV01002919.1,root (taxid 1),19362,0:10379 9606:5 0:2548 28384:5 0:1 1:1 0:6389
C,ENA_ABAV01002954_ABAV01002954.1,cellular organisms (taxid 131567),59415,0:21321 9606:1 0:3978 1031564:5 0:5567 9606:4 0:2575 1428:5 0:25925
C,ENA_ABAV01002955_ABAV01002955.1,Tomato spotted wilt orthotospovirus (taxid 1933298),15262,0:1536 1933298:2 0:4539 9606:1 0:9150
C,ENA_ABAV01003015_ABAV01003015.1,Bacillus cereus (taxid 1396),777,0:738 1396:5
C,ENA_ABAV01003022_ABAV01003022.1,Calothrix sp. NIES-2098 (taxid 1954171),9178,0:5569 435:3 0:512 1954171:5 0:3055
C,ENA_ABAV01003036_ABAV01003036.1,cellular organisms (taxid 131567),4357,0:119 131567:44 0:4160
C,ENA_ABAV01003066_ABAV01003066.1,cellular organisms (taxid 131567),7758,0:169 9606:1 0:6 131567:5 9606:2 0:1233 1173027:3 0:6305
C,ENA_ABAV01003090_ABAV01003090.1,cellular organisms (taxid 131567),4360,0:2297 9606:2 0:652 1883416:2 0:395 A:34 0:944
C,ENA_ABAV01003168_ABAV01003168.1,Oceanobacillus iheyensis (taxid 182710),6705,0:1007 182710:5 0:2442 9606:3 0:3214
C,ENA_ABAV01003195_ABAV01003195.1,Acinetobacter sp. TGL-Y2 (taxid 1407071),39082,0:917 9606:2 0:11676 1407071:5 0:2681 9606:2 0:23765
C,ENA_ABAV01003200_ABAV01003200.1,Acinetobacter sp. ACNIH1 (taxid 1636603),10118,0:4082 1636603:5 0:1077 A:34 0:4288 9606:1 0:597
C,ENA_ABAV01003241_ABAV01003241.1,cellular organisms (taxid 131567),3910,0:3630 1050174:3 0:10 9606:3 0:230
C,ENA_ABAV01003288_ABAV01003288.1,Anaerolineaceae bacterium oral taxon 439 (taxid 1889813),8424,0:3291 1889813:5 0:3421 2070:2 0:1671
C,ENA_ABAV01003294_ABAV01003294.1,Bacillus cereus m1293 (taxid 526973),771,0:40 A:34 0:74 1239:9 526973:39 0:77 1491:5 0:8 131567:15 0:38 9606:1 0:52 9606:1 0:68 1491:4 0:1 1239:17 526973:5 0:78 9606:1 0:7 9606:19 131567:1 0:11 131567:8 0:1 131567:5 0:26 526973:3 0:89
C,ENA_ABAV01003312_ABAV01003312.1,Calothrix sp. PCC 7507 (taxid 99598),13407,0:177 99598:3 0:3553 1913652:2 0:9638
C,ENA_ABAV01003413_ABAV01003413.1,cellular organisms (taxid 131567),4135,0:2323 331113:5 0:659 9606:5 0:1109
C,ENA_ABAV01003524_ABAV01003524.1,cellular organisms (taxid 131567),11889,0:6120 9606:1 0:5 9606:1 0:5067 1355477:2 0:659
C,ENA_ABAV01003580_ABAV01003580.1,Lacinutrix sp. Bg11-31 (taxid 2057808),4733,0:3616 2057808:7 0:1076
C,ENA_ABAV01003733_ABAV01003733.1,Bacteria (taxid 2),2749,0:212 9606:2 0:56 2:5 0:2440
C,ENA_ABAV01003825_ABAV01003825.1,Streptomyces davaonensis JCM 4913 (taxid 1214101),1460,0:701 1214101:2 0:283 1763:1 0:439
C,ENA_ABAV01003826_ABAV01003826.1,Pseudomonas fluorescens WH6 (taxid 746360),7011,0:555 1214101:2 0:283 1763:1 0:4172 746360:3 0:1961
C,ENA_ABAV01003903_ABAV01003903.1,Bacillus cereus m1293 (taxid 526973),1551,0:1495 526973:5 0:4 526973:5 0:8
C,ENA_ABAV01004069_ABAV01004069.1,Burkholderia pseudomallei (taxid 28450),1440,0:1351 2174846:5 0:5 28450:8 0:37
C,ENA_ABAV01004124_ABAV01004124.1,Bacteriovorax stolpii (taxid 960),11549,0:45 A:34 0:939 960:5 0:9131 9606:1 0:1360
C,ENA_ABAV01004146_ABAV01004146.1,Bacteria (taxid 2),14563,0:12 2:5 0:91 9606:2 0:56 2:5 0:208 9606:2 0:14148
C,ENA_ABAV01004195_ABAV01004195.1,Bacillus cereus m1293 (taxid 526973),1482,0:44 9606:5 131567:7 526973:12 0:3 526973:1 0:24 526973:1 0:146 9606:2 0:131 9606:11 526973:10 131567:6 0:3 526973:3 0:28 526973:3 0:33 526973:23 131567:46 9606:12 0:172 9606:5 0:37 1491:1 0:289 131567:77 9606:9 0:92 2:2 0:5 1239:2 2:5 131567:49 1491:14 0:56 2:1 0:78
C,ENA_ABAV01004220_ABAV01004220.1,Bacteria (taxid 2),8189,0:1304 1981173:1 0:5139 712270:1 0:1710
C,ENA_ABAV01004223_ABAV01004223.1,Calothrix brevissima NIES-22 (taxid 1973478),28177,0:18525 1973478:3 0:3300 234612:2 0:6313
C,ENA_ABAV01004224_ABAV01004224.1,Bacillus cereus m1293 (taxid 526973),1357,0:108 9606:2 0:131 9606:11 526973:10 131567:6 0:3 526973:3 0:28 526973:3 0:33 526973:23 131567:46 9606:12 0:161 9606:15 0:26 A:34 0:123 9606:4 131567:5 526973:5 0:130 131567:77 9606:9 0:92 2:2 131567:5 1239:2 2:5 131567:49 1491:14 0:56 2:1 0:89
C,ENA_ABAV01004275_ABAV01004275.1,Pseudoalteromonas (taxid 53246),23201,0:4117 1421:2 0:1030 53246:5 0:5814 2420:4 0:10280 9606:1 0:1759 9606:19 0:18 2:1 1224:13 0:1 2:5 0:1 2:20 0:77
C,ENA_ABAV01004302_ABAV01004302.1,Actinobacteria (taxid 1760),5325,0:4788 300019:1 0:12 307121:5 0:1 1109743:5 0:213 9606:3 0:263
C,ENA_ABAV01004327_ABAV01004327.1,Lactococcus lactis subsp. lactis (taxid 1360),9073,0:1137 1472767:2 0:1544 1360:5 0:854 9606:4 0:5493
C,ENA_ABAV01004423_ABAV01004423.1,Bacteria (taxid 2),1786,0:176 649639:5 0:637 1869170:5 0:929
C,ENA_ABAV01004440_ABAV01004440.1,[Clostridium] bolteae (taxid 208479),9589,0:1449 208479:5 0:906 866536:1 0:7194
C,ENA_ABAV01004441_ABAV01004441.1,cellular organisms (taxid 131567),33057,0:25954 1167006:5 0:668 9606:5 0:6391
C,ENA_ABAV01004479_ABAV01004479.1,Vibrio rumoiensis (taxid 76258),20245,0:2552 76258:4 0:10599 9606:3 0:7053
C,ENA_ABAV01004496_ABAV01004496.1,Bacilli (taxid 91061),19605,0:2615 1301:5 0:175 1408:5 0:4533 1379909:1 0:12237
C,ENA_ABAV01004498_ABAV01004498.1,Lentibacillus amyloliquefaciens (taxid 1472767),18592,0:1346 1472767:2 0:6575 1472767:2 0:10633
C,ENA_ABAV01004501_ABAV01004501.1,Elizabethkingia miricola (taxid 172045),25771,0:12850 172045:5 0:1765 83263:2 0:9460 1085406:1 0:1654
C,ENA_ABAV01004519_ABAV01004519.1,Clostridium botulinum (taxid 1491),30669,0:1645 9606:5 0:5 9606:2 0:3770 1491:7 0:2 1491:5 0:1 131567:1 0:20 131567:26 0:1 2:5 1239:2 0:140 131567:2 0:5 131567:4 0:1153 9606:5 0:23829
C,ENA_ABAV01004615_ABAV01004615.1,cellular organisms (taxid 131567),20872,0:18 A:34 0:5646 158847:1 0:4685 9606:1 0:3471 9606:1 0:3133 225848:2 0:3846
C,ENA_ABAV01004633_ABAV01004633.1,Photorhabdus asymbiotica (taxid 291112),7876,0:5283 291112:7 0:1384 666685:1 0:1167
C,ENA_ABAV01004701_ABAV01004701.1,Edwardsiella (taxid 635),79998,0:1716 9606:2 0:1973 9606:1 0:30 131567:2 0:94 9606:5 0:10 9606:4 0:4083 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:1 635:5 9606:2 0:1553 9606:3 0:9 9606:7 0:5 9606:4 0:6918 9606:9 0:5921 9606:1 0:395 241244:2 0:17352 9606:1 0:7 9606:1 0:1 9606:2 0:30890 9606:2 0:8894
C,ENA_ABAV01004708_ABAV01004708.1,Bacteria (taxid 2),41118,0:22806 191292:5 0:6951 2005461:1 0:3509 9606:2 0:4435 9606:1 0:836 1250231:5 0:2533
C,ENA_ABAV01004762_ABAV01004762.1,Clostridium chauvoei (taxid 46867),25938,0:14008 9606:3 0:7585 46867:5 0:4303
C,ENA_ABAV01004787_ABAV01004787.1,Advenella mimigardefordensis DPN7 (taxid 1247726),7526,0:2490 131567:4 9606:1 131567:2 80840:6 1247726:5 1437449:1 0:56 9606:7 0:4920
C,ENA_ABAV01004823_ABAV01004823.1,cellular organisms (taxid 131567),13396,0:750 9606:3 1496:3 0:8715 A:34 0:3857
C,ENA_ABAV01004867_ABAV01004867.1,Pseudomonas fragi (taxid 296),25401,0:15743 296:1 0:4514 296:1 0:5108
C,ENA_ABAV01004870_ABAV01004870.1,Mycoplasma canis (taxid 29555),18960,0:4283 29555:5 0:6704 9606:3 0:6 9606:1 0:4876 1340:1 0:3047
C,ENA_ABAV01004872_ABAV01004872.1,Planococcus maritimus (taxid 192421),23648,0:2568 192421:5 0:3943 A:82 0:12826 169679:2 0:4188
C,ENA_ABAV01004941_ABAV01004941.1,cellular organisms (taxid 131567),1276,0:709 9606:2 0:3 9606:3 0:113 86661:5 0:407
C,ENA_ABAV01004959_ABAV01004959.1,other sequences (taxid 28384),1397,1:100 28384:35 1:30 0:1198
C,ENA_ABAV01004990_ABAV01004990.1,cellular organisms (taxid 131567),19627,0:8691 1166018:5 0:4716 9606:3 0:3735 9606:2 0:2441
C,ENA_ABAV01005015_ABAV01005015.1,Synechococcus sp. KORDI-100 (taxid 1280380),8134,0:7972 1280380:3 0:94 9606:1 0:30
C,ENA_ABAV01005038_ABAV01005038.1,Azospira oryzae PS (taxid 640081),9141,0:8402 455432:1 0:57 1892:3 0:11 640081:5 0:11 1892:3 0:11 640081:5 0:21 9606:5 0:572
C,ENA_ABAV01005046_ABAV01005046.1,cellular organisms (taxid 131567),20851,0:9266 1386:5 0:2676 9606:5 0:8865
C,ENA_ABAV01005061_ABAV01005061.1,Bacteria (taxid 2),15469,0:1436 1396:2 0:2254 1964448:2 0:5039 1502:2 0:6700
C,ENA_ABAV01005129_ABAV01005129.1,Bacteria (taxid 2),6278,0:2129 369723:2 0:2850 1028416:2 0:1261
C,ENA_ABAV01005149_ABAV01005149.1,other sequences (taxid 28384),1372,0:43 A:34 0:872 1:29 28384:35 1:162 28384:15 1:62 0:22 1:64
C,ENA_ABAV01005350_ABAV01005350.1,Siansivirga zeaxanthinifaciens CC-SAMT-1 (taxid 1454006),48001,0:36364 9606:1 0:3978 1196095:2 0:5362 9606:2 0:187 1454006:4 0:2067
C,ENA_ABAV01005445_ABAV01005445.1,other sequences (taxid 28384),574,28384:29 1:3 0:508
C,ENA_ABAV01005659_ABAV01005659.1,Proteobacteria (taxid 1224),19109,0:7678 28450:2 0:5490 561230:2 0:3246 460265:1 0:2656
C,ENA_ABAV01005729_ABAV01005729.1,Salmonella enterica subsp. houtenae (taxid 59205),4943,0:1154 1855336:2 0:3108 59205:5 0:301 59205:5 0:334
C,ENA_ABAV01005758_ABAV01005758.1,Bacteria (taxid 2),19665,0:8545 1982042:5 0:5403 1727163:5 0:5673
C,ENA_ABAV01005869_ABAV01005869.1,Flavobacterium crassostreae (taxid 1763534),1790,0:1128 1123519:2 0:293 1763534:5 0:328
C,ENA_ABAV01005875_ABAV01005875.1,cellular organisms (taxid 131567),9467,0:4813 9606:1 0:1 9606:1 0:1458 1123519:2 0:3157
C,ENA_ABAV01005941_ABAV01005941.1,Fusobacterium varium (taxid 856),10317,0:3421 856:3 0:6858 9606:1
C,ENA_ABAV01005944_ABAV01005944.1,Candidatus Thiodictyon syntrophicum (taxid 1166950),3127,0:2884 157782:1 1:5 0:6 1166950:1 1224:5 1166950:1 0:23 1166950:1 0:35 1166950:1 0:6 1682:5 0:7 1:5 0:43 2:6 266265:5 2:1 0:5 157782:1 1:5 0:6 1166950:1 2:5 1166950:1 2:5 1166950:1 2:5 1166950:1 1224:5 1166950:1 0:10
C,ENA_ABAV01005946_ABAV01005946.1,Candidatus Thiodictyon syntrophicum (taxid 1166950),22824,2:4 1166950:1 2:5 1166950:1 2:5 1166950:1 2:5 1166950:1 1224:5 1166950:1 0:23 1166950:1 1224:5 1166950:1 0:41 1850906:2 0:57 1166950:1 2:5 1166950:1 2:5 1166950:1 2:5 1166950:1 2:5 1166950:1 2:5 1166950:1 1224:5 1166950:1 0:29 556325:1 0:1530 9606:3 0:1170 82985:5 0:2878 9606:11 0:12254 9606:1 0:4712
C,ENA_ABAV01005983_ABAV01005983.1,Agrobacterium (taxid 357),23909,0:9830 357:5 0:3 2:5 0:7928 9606:3 0:6101
C,ENA_ABAV01005997_ABAV01005997.1,Escherichia coli (taxid 562),10528,0:1336 562:5 0:7227 9606:4 0:1878 A:44 
C,ENA_ABAV01006001_ABAV01006001.1,Runella slithyformis DSM 19594 (taxid 761193),51769,0:1862 A:34 0:3510 A:34 0:1518 1813599:1 0:17975 9606:3 0:19192 761193:4 0:7586 A:16 
C,ENA_ABAV01006065_ABAV01006065.1,cellular organisms (taxid 131567),22571,0:9766 53246:2 0:486 9606:2 0:12281
C,ENA_ABAV01006069_ABAV01006069.1,endosymbiont of Bathymodiolus septemdierum str. Myojin knoll (taxid 1303921),23405,0:14 28384:2 0:73 9606:1 0:13607 1303921:5 0:4931 313595:3 0:4735
C,ENA_ABAV01006316_ABAV01006316.1,Desulfobacterium autotrophicum HRM2 (taxid 177437),28426,A:1 0:3630 177437:3 0:18153 9606:1 0:6604
C,ENA_ABAV01006420_ABAV01006420.1,Natranaerobius thermophilus JW/NM-WN-LF (taxid 457570),3486,0:976 9606:1 0:751 457570:5 0:1719
C,ENA_ABAV01006464_ABAV01006464.1,Bacillus cereus m1293 (taxid 526973),941,0:99 9606:1 0:52 9606:1 0:67 1491:5 0:1 1239:17 526973:5 0:78 9606:1 0:7 9606:19 131567:1 0:11 131567:8 0:1 131567:5 0:26 526973:3 0:133 131567:10 0:8 526973:2 0:41 1491:4 0:12 9606:1 0:288
C,ENA_ABAV01006466_ABAV01006466.1,Bacillus cereus m1293 (taxid 526973),1816,0:97 526973:5 0:8 526973:1 0:218 9606:5 0:45 9606:7 0:4 9606:17 0:22 526973:11 131567:54 1:9 1239:13 131567:4 1396:7 1239:2 1396:18 1:13 1396:1 526973:7 131567:1 526973:23 131567:15 526973:5 131567:3 0:28 9606:1 0:19 A:34 0:117 1239:1 0:3 1239:5 0:1 1239:1 0:24 1491:5 0:64 9606:4 0:148 131567:5 0:11 131567:1 0:29 131567:1 0:10 131567:49 526969:5 0:114 131567:5 0:2 1239:4 0:5 526973:4 0:467
C,ENA_ABAV01006504_ABAV01006504.1,Nocardioides sp. CF8 (taxid 110319),4701,0:24 1:2 0:639 110319:5 0:3997
C,ENA_ABAV01006508_ABAV01006508.1,[Eubacterium] rectale ATCC 33656 (taxid 515619),15736,0:15162 515619:3 0:162 515619:3 0:50 515619:3 0:105 515619:3 0:106 515619:3 0:102
C,ENA_ABAV01006579_ABAV01006579.1,Bacteria (taxid 2),6602,0:152 9606:2 0:56 2:5 0:91 9606:2 0:61 2:5 0:89 9606:3 0:628 9606:2 0:56 2:5 0:401 2:5 0:422 2:5 0:91 9606:2 0:179 2:5 0:844 9606:2 0:56 2:5 0:92 9606:2 0:209 2:5 0:191 2:5 0:91 9606:2 0:578 9606:2 0:56 2:5 0:265 2:5 0:91 9606:2 0:309 2:5 0:605 9606:2 0:872
C,ENA_ABAV01006582_ABAV01006582.1,Bacteria (taxid 2),2367,0:161 9606:2 0:56 2:5 0:91 9606:2 0:308 2:5 0:245 9606:2 0:153 9606:2 0:56 2:5 0:204 9606:2 0:56 2:5 0:91 9606:2 0:56 2:5 0:245 2:5 0:91 9606:2 0:56 2:5 0:245 2:5 0:92 9606:3 0:70
