index,identifiers,gc,length,acti_mapped.sorted_cov,bestsumorder_phylum
68,ENA_WAHB01000069_WAHB01000069.1,0.3664,404422,225.8595,Cnidaria
69,ENA_WAHB01000070_WAHB01000070.1,0.364,400714,214.845,no-hit
70,ENA_WAHB01000071_WAHB01000071.1,0.3758,401038,287.3709,Cnidaria
71,ENA_WAHB01000072_WAHB01000072.1,0.3659,411764,228.831,Cnidaria
72,ENA_WAHB01000073_WAHB01000073.1,0.3721,399830,259.264,Cnidaria
73,ENA_WAHB01000074_WAHB01000074.1,0.376,393047,245.5041,Chordata
74,ENA_WAHB01000075_WAHB01000075.1,0.3678,393880,250.2282,Cnidaria
75,ENA_WAHB01000076_WAHB01000076.1,0.373,391689,300.3474,Cnidaria
76,ENA_WAHB01000077_WAHB01000077.1,0.3758,389965,259.5179,Cnidaria
77,ENA_WAHB01000078_WAHB01000078.1,0.3701,381080,251.3458,Chordata
78,ENA_WAHB01000079_WAHB01000079.1,0.3602,381414,334.0666,Cnidaria
79,ENA_WAHB01000080_WAHB01000080.1,0.3661,377125,280.879,Chordata
80,ENA_WAHB01000081_WAHB01000081.1,0.368,375182,237.0229,Cnidaria
81,ENA_WAHB01000082_WAHB01000082.1,0.3754,374483,232.355,Cnidaria
82,ENA_WAHB01000083_WAHB01000083.1,0.3651,374084,244.2183,Cnidaria
83,ENA_WAHB01000084_WAHB01000084.1,0.3707,377559,234.3745,Chordata
84,ENA_WAHB01000085_WAHB01000085.1,0.3674,373305,253.2162,Cnidaria
85,ENA_WAHB01000086_WAHB01000086.1,0.3656,373496,212.4414,Cnidaria
86,ENA_WAHB01000087_WAHB01000087.1,0.3725,365846,276.3879,Cnidaria
87,ENA_WAHB01000088_WAHB01000088.1,0.3769,369815,264.5223,Cnidaria
88,ENA_WAHB01000089_WAHB01000089.1,0.3725,368067,264.1998,Cnidaria
89,ENA_WAHB01000090_WAHB01000090.1,0.3701,359668,262.1149,Cnidaria
90,ENA_WAHB01000091_WAHB01000091.1,0.361,358301,230.2944,Cnidaria
91,ENA_WAHB01000092_WAHB01000092.1,0.3726,369965,251.8628,Cnidaria
92,ENA_WAHB01000093_WAHB01000093.1,0.3742,353161,235.7136,Cnidaria
93,ENA_WAHB01000094_WAHB01000094.1,0.3731,354503,238.8246,Cnidaria
94,ENA_WAHB01000095_WAHB01000095.1,0.3656,367056,263.7492,Cnidaria
95,ENA_WAHB01000096_WAHB01000096.1,0.3815,357077,258.1525,Arthropoda
96,ENA_WAHB01000097_WAHB01000097.1,0.3701,356594,224.0757,Cnidaria
97,ENA_WAHB01000098_WAHB01000098.1,0.3715,361914,258.0024,Cnidaria
98,ENA_WAHB01000099_WAHB01000099.1,0.3758,356483,243.7129,Cnidaria
99,ENA_WAHB01000100_WAHB01000100.1,0.3715,352796,243.8096,no-hit
100,ENA_WAHB01000101_WAHB01000101.1,0.3729,348316,261.4188,Cnidaria
101,ENA_WAHB01000102_WAHB01000102.1,0.3707,345090,230.371,Cnidaria
102,ENA_WAHB01000103_WAHB01000103.1,0.3635,354921,202.6944,Cnidaria
103,ENA_WAHB01000104_WAHB01000104.1,0.3706,344360,260.4274,no-hit
104,ENA_WAHB01000105_WAHB01000105.1,0.3703,334868,283.1502,Cnidaria
105,ENA_WAHB01000106_WAHB01000106.1,0.3667,340148,217.9423,Cnidaria
106,ENA_WAHB01000107_WAHB01000107.1,0.373,339460,233.5957,Cnidaria
107,ENA_WAHB01000108_WAHB01000108.1,0.3796,337198,278.15,Cnidaria
108,ENA_WAHB01000109_WAHB01000109.1,0.381,343608,382.4541,Cnidaria
109,ENA_WAHB01000110_WAHB01000110.1,0.3668,340652,231.0488,Cnidaria
110,ENA_WAHB01000111_WAHB01000111.1,0.3708,337594,252.4109,Cnidaria
111,ENA_WAHB01000112_WAHB01000112.1,0.3698,333879,240.7837,Cnidaria
112,ENA_WAHB01000113_WAHB01000113.1,0.3719,340110,242.4215,Cnidaria
113,ENA_WAHB01000114_WAHB01000114.1,0.368,335760,226.844,Cnidaria
114,ENA_WAHB01000115_WAHB01000115.1,0.3689,334280,234.8162,Cnidaria
115,ENA_WAHB01000116_WAHB01000116.1,0.3748,345007,257.2046,Cnidaria
116,ENA_WAHB01000117_WAHB01000117.1,0.3703,330273,250.2631,Cnidaria
117,ENA_WAHB01000118_WAHB01000118.1,0.3704,328762,260.0616,Cnidaria
118,ENA_WAHB01000119_WAHB01000119.1,0.3693,325124,245.9277,Cnidaria
119,ENA_WAHB01000120_WAHB01000120.1,0.3776,326435,248.3113,Cnidaria
120,ENA_WAHB01000121_WAHB01000121.1,0.3703,326563,339.3217,Cnidaria
121,ENA_WAHB01000122_WAHB01000122.1,0.3714,325216,235.6793,Cnidaria
122,ENA_WAHB01000123_WAHB01000123.1,0.3788,325644,255.4339,Cnidaria
123,ENA_WAHB01000124_WAHB01000124.1,0.3759,331638,228.0733,Cnidaria
124,ENA_WAHB01000125_WAHB01000125.1,0.3682,320029,272.05,Cnidaria
125,ENA_WAHB01000126_WAHB01000126.1,0.3713,322505,229.965,Cnidaria
126,ENA_WAHB01000127_WAHB01000127.1,0.3637,320104,247.6796,Chordata
127,ENA_WAHB01000128_WAHB01000128.1,0.3686,320809,258.5564,Cnidaria
128,ENA_WAHB01000129_WAHB01000129.1,0.3673,319105,429.7298,Cnidaria
129,ENA_WAHB01000130_WAHB01000130.1,0.3732,317172,242.5827,Cnidaria
130,ENA_WAHB01000131_WAHB01000131.1,0.3617,316024,227.6123,Cnidaria
131,ENA_WAHB01000132_WAHB01000132.1,0.3666,314045,626.5976,Cnidaria
132,ENA_WAHB01000133_WAHB01000133.1,0.3732,319557,462.4378,Cnidaria
133,ENA_WAHB01000134_WAHB01000134.1,0.3763,316144,220.8096,Cnidaria
134,ENA_WAHB01000135_WAHB01000135.1,0.3768,312734,402.9812,Cnidaria
135,ENA_WAHB01000136_WAHB01000136.1,0.3749,313032,263.4849,Cnidaria
136,ENA_WAHB01000137_WAHB01000137.1,0.3743,314221,241.4143,Cnidaria
137,ENA_WAHB01000138_WAHB01000138.1,0.3672,309461,303.6857,Cnidaria
138,ENA_WAHB01000139_WAHB01000139.1,0.3689,311541,332.1884,Cnidaria
139,ENA_WAHB01000140_WAHB01000140.1,0.3689,312096,258.3799,Cnidaria
140,ENA_WAHB01000141_WAHB01000141.1,0.3689,309881,262.7968,Cnidaria
141,ENA_WAHB01000142_WAHB01000142.1,0.369,314095,238.6418,Cnidaria
142,ENA_WAHB01000143_WAHB01000143.1,0.3729,313076,238.5622,Cnidaria
143,ENA_WAHB01000144_WAHB01000144.1,0.3719,312064,231.2723,Cnidaria
144,ENA_WAHB01000145_WAHB01000145.1,0.3696,309567,248.7327,Cnidaria
145,ENA_WAHB01000146_WAHB01000146.1,0.3745,305151,265.1156,Cnidaria
146,ENA_WAHB01000147_WAHB01000147.1,0.3687,304465,239.8581,Cnidaria
147,ENA_WAHB01000148_WAHB01000148.1,0.3732,304061,232.2282,Chordata
148,ENA_WAHB01000149_WAHB01000149.1,0.3765,311022,340.954,no-hit
149,ENA_WAHB01000150_WAHB01000150.1,0.3752,305947,277.4976,Cnidaria
150,ENA_WAHB01000151_WAHB01000151.1,0.3699,315309,240.2261,Cnidaria
151,ENA_WAHB01000152_WAHB01000152.1,0.3679,308478,230.5939,Cnidaria
152,ENA_WAHB01000153_WAHB01000153.1,0.3742,298739,253.9413,Cnidaria
153,ENA_WAHB01000154_WAHB01000154.1,0.3654,300651,218.2736,Cnidaria
154,ENA_WAHB01000155_WAHB01000155.1,0.3698,296560,244.0256,Cnidaria
155,ENA_WAHB01000156_WAHB01000156.1,0.375,305865,243.8653,Cnidaria
156,ENA_WAHB01000157_WAHB01000157.1,0.3684,300783,242.1753,Cnidaria
157,ENA_WAHB01000158_WAHB01000158.1,0.3673,295649,235.7317,no-hit
158,ENA_WAHB01000159_WAHB01000159.1,0.3721,294409,246.3702,Cnidaria
159,ENA_WAHB01000160_WAHB01000160.1,0.3729,294430,241.1087,Cnidaria
160,ENA_WAHB01000161_WAHB01000161.1,0.3638,297725,219.4167,Cnidaria
161,ENA_WAHB01000162_WAHB01000162.1,0.3697,293495,282.5372,Cnidaria
162,ENA_WAHB01000163_WAHB01000163.1,0.3731,313976,252.2243,Cnidaria
163,ENA_WAHB01000164_WAHB01000164.1,0.3744,296700,271.8128,Cnidaria
164,ENA_WAHB01000165_WAHB01000165.1,0.3663,293942,290.5208,Cnidaria
165,ENA_WAHB01000166_WAHB01000166.1,0.3708,291105,250.5445,Chordata
166,ENA_WAHB01000167_WAHB01000167.1,0.3816,288679,287.8897,Cnidaria
167,ENA_WAHB01000168_WAHB01000168.1,0.3725,288258,275.9374,Cnidaria
168,ENA_WAHB01000169_WAHB01000169.1,0.3704,291095,231.0226,Cnidaria
169,ENA_WAHB01000170_WAHB01000170.1,0.3788,305505,240.0165,Cnidaria
170,ENA_WAHB01000171_WAHB01000171.1,0.3636,290681,212.6197,Cnidaria
171,ENA_WAHB01000172_WAHB01000172.1,0.3652,292977,246.5303,Cnidaria
172,ENA_WAHB01000173_WAHB01000173.1,0.371,284341,220.9089,Cnidaria
173,ENA_WAHB01000174_WAHB01000174.1,0.3741,285332,254.3704,Cnidaria
174,ENA_WAHB01000175_WAHB01000175.1,0.372,292344,321.5881,Cnidaria
175,ENA_WAHB01000176_WAHB01000176.1,0.37,283409,298.1837,Cnidaria
176,ENA_WAHB01000177_WAHB01000177.1,0.3539,285989,198.5029,no-hit
177,ENA_WAHB01000178_WAHB01000178.1,0.3692,284126,227.5771,Cnidaria
178,ENA_WAHB01000179_WAHB01000179.1,0.3705,283183,259.0591,Cnidaria
179,ENA_WAHB01000180_WAHB01000180.1,0.3712,278354,257.3695,Cnidaria
180,ENA_WAHB01000181_WAHB01000181.1,0.3736,293648,266.4519,Cnidaria
181,ENA_WAHB01000182_WAHB01000182.1,0.3749,277078,247.4922,Cnidaria
182,ENA_WAHB01000183_WAHB01000183.1,0.3743,276957,271.62,Cnidaria
183,ENA_WAHB01000184_WAHB01000184.1,0.3756,275483,241.4444,Cnidaria
184,ENA_WAHB01000185_WAHB01000185.1,0.3683,275155,245.3118,Cnidaria
185,ENA_WAHB01000186_WAHB01000186.1,0.3705,274155,237.9413,Cnidaria
186,ENA_WAHB01000187_WAHB01000187.1,0.3734,278504,240.7813,Cnidaria
187,ENA_WAHB01000188_WAHB01000188.1,0.3701,274500,229.5949,Cnidaria
188,ENA_WAHB01000189_WAHB01000189.1,0.3733,277758,241.4494,Cnidaria
189,ENA_WAHB01000190_WAHB01000190.1,0.3711,273904,280.3939,Cnidaria
190,ENA_WAHB01000191_WAHB01000191.1,0.3736,280657,218.1882,Cnidaria
191,ENA_WAHB01000192_WAHB01000192.1,0.3741,275917,305.3903,Cnidaria
192,ENA_WAHB01000193_WAHB01000193.1,0.3716,271439,272.131,Cnidaria
193,ENA_WAHB01000194_WAHB01000194.1,0.3747,268950,238.9794,Cnidaria
194,ENA_WAHB01000195_WAHB01000195.1,0.369,274668,342.7004,Cnidaria
195,ENA_WAHB01000196_WAHB01000196.1,0.3712,271273,382.0572,Chordata
196,ENA_WAHB01000197_WAHB01000197.1,0.3693,267460,266.4459,Cnidaria
197,ENA_WAHB01000198_WAHB01000198.1,0.3638,274097,293.5849,Cnidaria
198,ENA_WAHB01000199_WAHB01000199.1,0.3605,266555,222.7097,Cnidaria
199,ENA_WAHB01000200_WAHB01000200.1,0.3645,265509,210.0214,Cnidaria
200,ENA_WAHB01000201_WAHB01000201.1,0.3784,264662,283.7579,Cnidaria
201,ENA_WAHB01000202_WAHB01000202.1,0.376,292930,239.6553,Cnidaria
202,ENA_WAHB01000203_WAHB01000203.1,0.3736,266149,259.0646,Cnidaria
203,ENA_WAHB01000204_WAHB01000204.1,0.3652,264629,220.8115,Cnidaria
204,ENA_WAHB01000205_WAHB01000205.1,0.3685,261737,247.1144,Cnidaria
205,ENA_WAHB01000206_WAHB01000206.1,0.3759,264255,267.0069,Cnidaria
206,ENA_WAHB01000207_WAHB01000207.1,0.3703,263250,236.3109,Cnidaria
207,ENA_WAHB01000208_WAHB01000208.1,0.3662,262613,229.0611,Cnidaria
208,ENA_WAHB01000209_WAHB01000209.1,0.3666,266567,241.9812,Cnidaria
209,ENA_WAHB01000210_WAHB01000210.1,0.3713,260855,231.0697,Arthropoda
210,ENA_WAHB01000211_WAHB01000211.1,0.3746,264671,251.2346,Cnidaria
211,ENA_WAHB01000212_WAHB01000212.1,0.375,264324,295.3267,Cnidaria
212,ENA_WAHB01000213_WAHB01000213.1,0.365,267415,241.9609,Arthropoda
213,ENA_WAHB01000214_WAHB01000214.1,0.3787,259936,388.0703,Cnidaria
214,ENA_WAHB01000215_WAHB01000215.1,0.372,260221,271.6944,Cnidaria
215,ENA_WAHB01000216_WAHB01000216.1,0.3714,256949,236.0785,Cnidaria
216,ENA_WAHB01000217_WAHB01000217.1,0.3584,260200,272.2877,Cnidaria
217,ENA_WAHB01000218_WAHB01000218.1,0.3676,257401,232.2983,Cnidaria
218,ENA_WAHB01000219_WAHB01000219.1,0.3695,257128,292.9281,Cnidaria
219,ENA_WAHB01000220_WAHB01000220.1,0.3796,259786,268.4687,Cnidaria
220,ENA_WAHB01000221_WAHB01000221.1,0.3709,258351,235.7551,Cnidaria
221,ENA_WAHB01000222_WAHB01000222.1,0.3677,257025,222.6464,Cnidaria
222,ENA_WAHB01000223_WAHB01000223.1,0.3674,255935,256.8643,Cnidaria
223,ENA_WAHB01000224_WAHB01000224.1,0.3653,260374,239.0717,Cnidaria
224,ENA_WAHB01000225_WAHB01000225.1,0.3921,259673,520.5775,Cnidaria
225,ENA_WAHB01000226_WAHB01000226.1,0.3719,256289,237.1129,no-hit
226,ENA_WAHB01000227_WAHB01000227.1,0.3681,255068,220.185,Cnidaria
227,ENA_WAHB01000228_WAHB01000228.1,0.3694,256875,212.4801,Cnidaria
228,ENA_WAHB01000229_WAHB01000229.1,0.3708,261815,231.5925,Cnidaria
229,ENA_WAHB01000230_WAHB01000230.1,0.3669,252920,220.5183,Cnidaria
230,ENA_WAHB01000231_WAHB01000231.1,0.3661,255516,234.3192,Cnidaria
231,ENA_WAHB01000232_WAHB01000232.1,0.3641,255726,216.176,Cnidaria
232,ENA_WAHB01000233_WAHB01000233.1,0.3666,251958,266.3449,Cnidaria
233,ENA_WAHB01000234_WAHB01000234.1,0.3753,252599,247.5301,Cnidaria
234,ENA_WAHB01000235_WAHB01000235.1,0.3731,251337,238.9571,Cnidaria
235,ENA_WAHB01000236_WAHB01000236.1,0.3688,252239,285.1189,Cnidaria
236,ENA_WAHB01000237_WAHB01000237.1,0.3656,245722,237.9357,Chordata
237,ENA_WAHB01000238_WAHB01000238.1,0.3741,250613,287.46,Cnidaria
238,ENA_WAHB01000239_WAHB01000239.1,0.3775,250517,311.1361,Cnidaria
239,ENA_WAHB01000240_WAHB01000240.1,0.3631,248290,226.0652,Cnidaria
240,ENA_WAHB01000241_WAHB01000241.1,0.3718,249607,247.6765,Cnidaria
241,ENA_WAHB01000242_WAHB01000242.1,0.3732,249026,256.9754,Cnidaria
242,ENA_WAHB01000243_WAHB01000243.1,0.3697,248400,307.8692,Cnidaria
243,ENA_WAHB01000244_WAHB01000244.1,0.373,245540,415.9448,Chordata
244,ENA_WAHB01000245_WAHB01000245.1,0.3724,240784,237.3133,Cnidaria
245,ENA_WAHB01000246_WAHB01000246.1,0.3692,236179,297.0808,Cnidaria
246,ENA_WAHB01000247_WAHB01000247.1,0.3687,261155,236.1527,Cnidaria
247,ENA_WAHB01000248_WAHB01000248.1,0.3673,235525,271.111,Cnidaria
248,ENA_WAHB01000249_WAHB01000249.1,0.3766,238340,280.6854,Cnidaria
249,ENA_WAHB01000250_WAHB01000250.1,0.3724,239005,249.2804,Cnidaria
250,ENA_WAHB01000251_WAHB01000251.1,0.3605,238438,255.0167,Cnidaria
251,ENA_WAHB01000252_WAHB01000252.1,0.3703,239744,245.2256,Cnidaria
252,ENA_WAHB01000253_WAHB01000253.1,0.3722,237323,239.1435,Cnidaria
253,ENA_WAHB01000254_WAHB01000254.1,0.3699,236087,250.4309,Chordata
254,ENA_WAHB01000255_WAHB01000255.1,0.3779,236035,284.8493,Cnidaria
255,ENA_WAHB01000256_WAHB01000256.1,0.3759,235217,245.4346,Cnidaria
256,ENA_WAHB01000257_WAHB01000257.1,0.3683,235166,238.8126,Cnidaria
257,ENA_WAHB01000258_WAHB01000258.1,0.3637,238969,391.4716,Cnidaria
258,ENA_WAHB01000259_WAHB01000259.1,0.3665,234249,302.5837,Cnidaria
259,ENA_WAHB01000260_WAHB01000260.1,0.3674,236066,221.4794,Cnidaria
260,ENA_WAHB01000261_WAHB01000261.1,0.3717,230473,249.1077,Chordata
261,ENA_WAHB01000262_WAHB01000262.1,0.3739,232865,251.9187,Platyhelminthes
262,ENA_WAHB01000263_WAHB01000263.1,0.364,244074,248.3785,Cnidaria
263,ENA_WAHB01000264_WAHB01000264.1,0.3681,230538,237.9173,Chordata
264,ENA_WAHB01000265_WAHB01000265.1,0.3718,230536,284.7855,no-hit
265,ENA_WAHB01000266_WAHB01000266.1,0.3706,229580,490.9952,Cnidaria
266,ENA_WAHB01000267_WAHB01000267.1,0.3744,230511,338.7397,Cnidaria
267,ENA_WAHB01000268_WAHB01000268.1,0.3749,227717,313.9383,Cnidaria
268,ENA_WAHB01000269_WAHB01000269.1,0.3785,227395,325.5165,Cnidaria
269,ENA_WAHB01000270_WAHB01000270.1,0.3649,228248,226.6368,Cnidaria
270,ENA_WAHB01000271_WAHB01000271.1,0.3863,236166,313.1946,Cnidaria
271,ENA_WAHB01000272_WAHB01000272.1,0.3647,230126,237.6254,Cnidaria
272,ENA_WAHB01000273_WAHB01000273.1,0.3616,225894,214.3643,Cnidaria
273,ENA_WAHB01000274_WAHB01000274.1,0.3717,229472,372.4363,Cnidaria
274,ENA_WAHB01000275_WAHB01000275.1,0.3711,225471,252.1152,Chordata
275,ENA_WAHB01000276_WAHB01000276.1,0.3733,227054,240.7934,Cnidaria
276,ENA_WAHB01000277_WAHB01000277.1,0.3656,227294,323.7338,Cnidaria
277,ENA_WAHB01000278_WAHB01000278.1,0.3587,221223,231.8728,Cnidaria
278,ENA_WAHB01000279_WAHB01000279.1,0.381,221833,391.1788,Cnidaria
279,ENA_WAHB01000280_WAHB01000280.1,0.3737,219530,260.6082,Cnidaria
280,ENA_WAHB01000281_WAHB01000281.1,0.3713,222674,254.7916,Arthropoda
281,ENA_WAHB01000282_WAHB01000282.1,0.3637,220025,249.2213,Cnidaria
282,ENA_WAHB01000283_WAHB01000283.1,0.3682,219967,234.3577,Cnidaria
283,ENA_WAHB01000284_WAHB01000284.1,0.3771,225558,239.4239,Cnidaria
284,ENA_WAHB01000285_WAHB01000285.1,0.3729,219059,241.8091,Cnidaria
285,ENA_WAHB01000286_WAHB01000286.1,0.3816,226089,327.1162,Cnidaria
286,ENA_WAHB01000287_WAHB01000287.1,0.3655,218951,244.7877,Chordata
287,ENA_WAHB01000288_WAHB01000288.1,0.3647,219599,234.5401,Cnidaria
288,ENA_WAHB01000289_WAHB01000289.1,0.3754,218232,225.3251,Cnidaria
289,ENA_WAHB01000290_WAHB01000290.1,0.3632,219599,232.1613,Cnidaria
290,ENA_WAHB01000291_WAHB01000291.1,0.3635,217812,218.5852,Cnidaria
291,ENA_WAHB01000292_WAHB01000292.1,0.3603,217955,222.3534,Cnidaria
292,ENA_WAHB01000293_WAHB01000293.1,0.3738,212037,241.9169,Cnidaria
293,ENA_WAHB01000294_WAHB01000294.1,0.3706,216815,255.125,Cnidaria
294,ENA_WAHB01000295_WAHB01000295.1,0.3759,231634,260.8157,Cnidaria
295,ENA_WAHB01000296_WAHB01000296.1,0.3686,215811,232.7398,Mollusca
296,ENA_WAHB01000297_WAHB01000297.1,0.3738,216494,229.9738,Cnidaria
297,ENA_WAHB01000298_WAHB01000298.1,0.3758,217009,233.647,Cnidaria
298,ENA_WAHB01000299_WAHB01000299.1,0.3698,217922,274.5374,Cnidaria
299,ENA_WAHB01000300_WAHB01000300.1,0.377,224887,251.51,Cnidaria
300,ENA_WAHB01000301_WAHB01000301.1,0.364,212369,215.6798,Cnidaria
301,ENA_WAHB01000302_WAHB01000302.1,0.3759,218106,247.3881,Cnidaria
302,ENA_WAHB01000303_WAHB01000303.1,0.3608,211571,232.7027,Cnidaria
303,ENA_WAHB01000304_WAHB01000304.1,0.3667,210072,218.5714,Cnidaria
304,ENA_WAHB01000305_WAHB01000305.1,0.3671,209398,213.495,Cnidaria
305,ENA_WAHB01000306_WAHB01000306.1,0.3671,213131,381.5748,Cnidaria
306,ENA_WAHB01000307_WAHB01000307.1,0.3698,209565,245.5622,Cnidaria
307,ENA_WAHB01000308_WAHB01000308.1,0.3682,213342,221.862,Cnidaria
308,ENA_WAHB01000309_WAHB01000309.1,0.3779,210138,363.0209,Cnidaria
309,ENA_WAHB01000310_WAHB01000310.1,0.3688,215052,260.6737,Cnidaria
310,ENA_WAHB01000311_WAHB01000311.1,0.375,207920,250.9345,Cnidaria
311,ENA_WAHB01000312_WAHB01000312.1,0.3662,207540,228.172,no-hit
312,ENA_WAHB01000313_WAHB01000313.1,0.369,208014,252.9705,Cnidaria
313,ENA_WAHB01000314_WAHB01000314.1,0.3723,207925,238.6377,Cnidaria
314,ENA_WAHB01000315_WAHB01000315.1,0.3744,216911,232.9815,Cnidaria
315,ENA_WAHB01000316_WAHB01000316.1,0.3607,211128,227.7222,Cnidaria
316,ENA_WAHB01000317_WAHB01000317.1,0.3804,218637,433.993,Cnidaria
317,ENA_WAHB01000318_WAHB01000318.1,0.3707,206718,638.8407,Cnidaria
318,ENA_WAHB01000319_WAHB01000319.1,0.3699,206189,238.3218,Cnidaria
